날짜,시간,테이블번호,메뉴명,카테고리,수량,단가,합계,결제수단
2026-04-13,18:15,T03,생맥주 500,주류,3,6000,18000,카드
2026-04-13,18:15,T03,치킨팝,안주,1,18000,18000,카드
2026-04-13,18:32,T07,하이볼 위스키,주류,2,12000,24000,카드
2026-04-13,18:32,T07,감자튀김,안주,1,9000,9000,카드
2026-04-13,19:05,T01,생맥주 500,주류,4,6000,24000,카드
2026-04-13,19:05,T01,골뱅이소면,안주,1,22000,22000,카드
2026-04-13,19:05,T01,치킨팝,안주,1,18000,18000,카드
2026-04-13,19:45,T05,하이볼 위스키,주류,4,12000,48000,카드
2026-04-13,19:45,T05,모둠전,안주,2,25000,50000,카드
2026-04-13,20:10,T02,소주,주류,2,5000,10000,현금
2026-04-13,20:10,T02,생맥주 500,주류,2,6000,12000,현금
2026-04-13,20:10,T02,순대볶음,안주,1,16000,16000,현금
2026-04-13,20:35,T08,하이볼 위스키,주류,3,12000,36000,카드
2026-04-13,20:35,T08,하이볼 진,주류,1,12000,12000,카드
2026-04-13,20:35,T08,치즈핫도그,안주,2,10000,20000,카드
2026-04-13,21:00,T04,생맥주 1L,주류,2,11000,22000,카드
2026-04-13,21:00,T04,뼈다귀해장국,안주,1,14000,14000,카드
2026-04-13,21:50,T06,소주,주류,3,5000,15000,카드
2026-04-13,21:50,T06,생맥주 500,주류,3,6000,18000,카드
2026-04-13,21:50,T06,골뱅이소면,안주,1,22000,22000,카드
2026-04-13,22:20,T03,하이볼 위스키,주류,2,12000,24000,카드
2026-04-13,22:20,T03,치킨팝,안주,1,18000,18000,카드
2026-04-13,23:00,T07,생맥주 500,주류,4,6000,24000,카드
2026-04-13,23:00,T07,모둠전,안주,1,25000,25000,카드
2026-04-14,18:20,T01,하이볼 위스키,주류,2,12000,24000,카드
2026-04-14,18:20,T01,감자튀김,안주,1,9000,9000,카드
2026-04-14,19:00,T04,생맥주 500,주류,2,6000,12000,카드
2026-04-14,19:00,T04,순대볶음,안주,1,16000,16000,카드
2026-04-14,20:30,T02,소주,주류,2,5000,10000,현금
2026-04-14,20:30,T02,치킨팝,안주,1,18000,18000,현금
2026-04-15,18:10,T05,하이볼 위스키,주류,3,12000,36000,카드
2026-04-15,18:10,T05,하이볼 진,주류,2,12000,24000,카드
2026-04-15,18:10,T05,모둠전,안주,2,25000,50000,카드
2026-04-15,19:30,T03,생맥주 500,주류,4,6000,24000,카드
2026-04-15,19:30,T03,골뱅이소면,안주,1,22000,22000,카드
2026-04-15,20:00,T08,소주,주류,3,5000,15000,카드
2026-04-15,20:00,T08,생맥주 500,주류,2,6000,12000,카드
2026-04-15,20:00,T08,뼈다귀해장국,안주,2,14000,28000,카드
2026-04-15,21:15,T06,하이볼 위스키,주류,4,12000,48000,카드
2026-04-15,21:15,T06,치즈핫도그,안주,2,10000,20000,카드
2026-04-15,22:00,T01,생맥주 1L,주류,3,11000,33000,카드
2026-04-15,22:00,T01,치킨팝,안주,2,18000,36000,카드
2026-04-15,23:10,T04,하이볼 위스키,주류,2,12000,24000,카드
2026-04-15,23:10,T04,순대볶음,안주,1,16000,16000,카드
2026-04-16,17:50,T02,하이볼 위스키,주류,2,12000,24000,카드
2026-04-16,17:50,T02,감자튀김,안주,1,9000,9000,카드
2026-04-16,18:30,T07,생맥주 500,주류,5,6000,30000,카드
2026-04-16,18:30,T07,모둠전,안주,2,25000,50000,카드
2026-04-16,19:00,T05,소주,주류,4,5000,20000,현금
2026-04-16,19:00,T05,생맥주 500,주류,3,6000,18000,현금
2026-04-16,19:00,T05,골뱅이소면,안주,2,22000,44000,현금
2026-04-16,19:00,T05,순대볶음,안주,1,16000,16000,현금
2026-04-16,20:00,T03,하이볼 위스키,주류,5,12000,60000,카드
2026-04-16,20:00,T03,하이볼 진,주류,3,12000,36000,카드
2026-04-16,20:00,T03,치킨팝,안주,3,18000,54000,카드
2026-04-16,20:00,T03,치즈핫도그,안주,2,10000,20000,카드
2026-04-16,21:30,T08,생맥주 1L,주류,4,11000,44000,카드
2026-04-16,21:30,T08,모둠전,안주,2,25000,50000,카드
2026-04-16,22:00,T01,하이볼 위스키,주류,3,12000,36000,카드
2026-04-16,22:00,T01,골뱅이소면,안주,1,22000,22000,카드
2026-04-16,22:45,T06,소주,주류,5,5000,25000,카드
2026-04-16,22:45,T06,생맥주 500,주류,5,6000,30000,카드
2026-04-16,22:45,T06,뼈다귀해장국,안주,2,14000,28000,카드
2026-04-17,18:00,T04,하이볼 위스키,주류,4,12000,48000,카드
2026-04-17,18:00,T04,치킨팝,안주,2,18000,36000,카드
2026-04-17,19:20,T02,생맥주 500,주류,3,6000,18000,카드
2026-04-17,19:20,T02,감자튀김,안주,1,9000,9000,카드
2026-04-17,19:20,T02,순대볶음,안주,1,16000,16000,카드
2026-04-17,20:30,T07,하이볼 위스키,주류,3,12000,36000,카드
2026-04-17,20:30,T07,모둠전,안주,1,25000,25000,카드
2026-04-17,21:00,T05,소주,주류,3,5000,15000,현금
2026-04-17,21:00,T05,생맥주 500,주류,3,6000,18000,현금
2026-04-17,21:00,T05,골뱅이소면,안주,1,22000,22000,현금
2026-04-17,22:30,T03,하이볼 위스키,주류,5,12000,60000,카드
2026-04-17,22:30,T03,하이볼 진,주류,2,12000,24000,카드
2026-04-17,22:30,T03,치즈핫도그,안주,3,10000,30000,카드
2026-04-17,23:00,T01,생맥주 1L,주류,3,11000,33000,카드
2026-04-17,23:00,T01,치킨팝,안주,2,18000,36000,카드
2026-04-18,17:30,T06,하이볼 위스키,주류,2,12000,24000,카드
2026-04-18,17:30,T06,감자튀김,안주,1,9000,9000,카드
2026-04-18,18:00,T08,생맥주 500,주류,6,6000,36000,카드
2026-04-18,18:00,T08,모둠전,안주,3,25000,75000,카드
2026-04-18,18:00,T08,골뱅이소면,안주,2,22000,44000,카드
2026-04-18,19:00,T02,하이볼 위스키,주류,6,12000,72000,카드
2026-04-18,19:00,T02,하이볼 진,주류,4,12000,48000,카드
2026-04-18,19:00,T02,치킨팝,안주,3,18000,54000,카드
2026-04-18,19:00,T02,뼈다귀해장국,안주,2,14000,28000,카드
2026-04-18,20:00,T04,소주,주류,4,5000,20000,현금
2026-04-18,20:00,T04,생맥주 500,주류,4,6000,24000,현금
2026-04-18,20:00,T04,순대볶음,안주,2,16000,32000,현금
2026-04-18,20:00,T04,골뱅이소면,안주,1,22000,22000,현금
2026-04-18,21:00,T07,하이볼 위스키,주류,5,12000,60000,카드
2026-04-18,21:00,T07,치즈핫도그,안주,3,10000,30000,카드
2026-04-18,21:00,T07,모둠전,안주,2,25000,50000,카드
2026-04-18,22:00,T01,생맥주 1L,주류,5,11000,55000,카드
2026-04-18,22:00,T01,치킨팝,안주,3,18000,54000,카드
2026-04-18,22:00,T01,골뱅이소면,안주,1,22000,22000,카드
2026-04-18,23:00,T05,하이볼 위스키,주류,4,12000,48000,카드
2026-04-18,23:00,T05,하이볼 진,주류,3,12000,36000,카드
2026-04-18,23:00,T05,순대볶음,안주,2,16000,32000,카드
2026-04-18,23:30,T03,소주,주류,6,5000,30000,카드
2026-04-18,23:30,T03,생맥주 500,주류,4,6000,24000,카드
2026-04-18,23:30,T03,치킨팝,안주,2,18000,36000,카드
2026-04-19,18:10,T06,하이볼 위스키,주류,3,12000,36000,카드
2026-04-19,18:10,T06,감자튀김,안주,2,9000,18000,카드
2026-04-19,19:00,T02,생맥주 500,주류,4,6000,24000,카드
2026-04-19,19:00,T02,모둠전,안주,2,25000,50000,카드
2026-04-19,19:00,T02,골뱅이소면,안주,1,22000,22000,카드
2026-04-19,20:00,T08,하이볼 위스키,주류,5,12000,60000,카드
2026-04-19,20:00,T08,치킨팝,안주,3,18000,54000,카드
2026-04-19,20:00,T08,치즈핫도그,안주,2,10000,20000,카드
2026-04-19,21:00,T04,소주,주류,3,5000,15000,현금
2026-04-19,21:00,T04,생맥주 500,주류,3,6000,18000,현금
2026-04-19,21:00,T04,뼈다귀해장국,안주,1,14000,14000,현금
2026-04-19,22:00,T07,하이볼 위스키,주류,4,12000,48000,카드
2026-04-19,22:00,T07,하이볼 진,주류,2,12000,24000,카드
2026-04-19,22:00,T07,순대볶음,안주,2,16000,32000,카드
2026-04-19,23:00,T01,생맥주 1L,주류,4,11000,44000,카드
2026-04-19,23:00,T01,골뱅이소면,안주,1,22000,22000,카드
